,fPC1,fPC2,fPC3,fPC4,sub_full,y,Repetition
42,2.0257768826264995,0.24149414643459263,-4.534588180363736,1.9355891830213712,Dicofol,1,Dicofol1
43,2.5259714251742205,-0.8363125597856089,0.9773188560429193,1.363058968424319,Dieldrin,2,Dieldrin0
44,2.9371660328281193,13.476762135090473,9.432897901709795,-2.185073732879882,Dieldrin,2,Dieldrin1
45,-3.637424896413891,9.640683809596794,3.6577779266470163,-2.1314141093323182,H40,1,H400
46,-4.821758474691092,10.001339649589514,6.255654186171525,-2.8777667910625966,H40,1,H401
47,-0.9444925850205554,11.387447296087428,17.644795380120733,-2.7756391380545127,H40,1,H402
48,3.2394715179524916,3.5967347897192132,4.848713709480204,0.15912768176816783,Hydrazine,3,Hydrazine0
49,1.0622142283814753,0.7309353029048455,3.072133696441261,2.983556412478996,Hydrazine,3,Hydrazine1
50,3.024779189414733,-0.5093132865896532,-0.30216035535711233,2.8664667012830787,Ibuprofen,1,Ibuprofen0
51,3.471841244290422,-9.433981366757662,5.254052588109206,4.888944203030786,Isodrin,2,Isodrin0
52,3.0014759814013647,-6.487762029375578,4.0954065999073075,6.341196326367578,Isodrin,2,Isodrin1
53,1.7416825194035963,0.051604769577622486,0.26866841539465397,2.6969732701229963,L1000,3,L10000
54,3.487202948759822,-0.5251679916092615,-3.822023187220409,1.6484979526733168,L1000,3,L10001
55,4.869272664805106,-14.338477397108608,1.1675175148632477,-5.128647035810531,Lindane,1,Lindane0
56,-16.28733518285802,-1.9216748210124674,3.0240756869726186,-1.0077114507085405,Methomyl,3,Methomyl0
57,-8.904017276907501,-1.693193726664614,1.0241793267067365,-0.15662871713522938,Methomyl,3,Methomyl1
58,-16.605014069821017,-2.229131569575117,3.150836214347474,-2.3514418006099325,Methomyl,3,Methomyl2
59,-16.848665059626743,-1.5395008858724617,2.880734924027575,-1.4016611822417635,Methomyl,3,Methomyl3
60,-15.44143944160766,-2.2989428242566325,1.846295939436842,-1.3688023433713126,Methomyl,3,Methomyl4
61,-15.363531354620468,-2.052470688470472,2.9051657175269034,-1.3395200540706693,Methomyl,3,Methomyl5
62,-15.198214392581397,-2.1381173950454966,2.2176383335442447,-1.4531179464615287,Methomyl,3,Methomyl6
63,10.753571634391305,2.7029105071193014,-2.4090013809780215,1.110572861986291,Nitric Acid,3,Nitric Acid0
64,2.74011693145935,-0.20606665285005746,0.6753766257205086,2.9618366303500565,Pentachlorophenol,3,Pentachlorophenol0
65,2.6904396031179036,0.02770254241129069,0.640852484624162,2.5013547073979376,Pentachlorophenol,3,Pentachlorophenol1
66,2.908078773104337,-2.792622316475041,0.7048483678899082,-3.440151152581063,PiperonylButoxide,6,PiperonylButoxide0
67,1.807422983276824,-0.15169204430807776,0.5806541578743143,1.698639611325991,PiperonylButoxide,6,PiperonylButoxide1
68,6.770445513799883,-3.185409066072475,-0.20678103364696146,-13.60043631811222,Quinoxyfen,1,Quinoxyfen0
69,18.719093148440038,-1.1671680089237115,-8.73545419825248,-0.6862036136755052,Quinoxyfen,1,Quinoxyfen1
70,3.183281526031402,8.741320335006588,-3.337622061315522,-4.75001875674059,Quinoxyfen,1,Quinoxyfen2
71,2.0450060926998295,2.5200460228192196,0.7355767850733564,1.599374202587907,Tebufenozide,1,Tebufenozide0
72,2.355353222883078,0.1311214150025357,-0.40978729347517595,2.819759830761796,Tebufenozide,1,Tebufenozide1
73,15.615353880042605,-8.00888947651568,1.7520219644567825,0.3163657537653395,Tetrachloroethylene,3,Tetrachloroethylene0
74,14.428169910189713,-13.319225580806096,1.9737184220010897,-7.578940426850756,Tetrachloroethylene,3,Tetrachloroethylene1
75,-14.672734629399546,-2.126400636051265,1.8277854440276597,-1.6354390009213817,Trichlorobenzene(123),3,Trichlorobenzene(123)0
76,-4.6380306591802345,-1.2758440738909447,-2.5209444040203675,0.9527188332978337,Trichlorobenzene(123),3,Trichlorobenzene(123)1
77,-7.794093585385921,-1.4611161889742497,0.8593905261590353,-0.6045832727306257,Trichlorobenzene(123),3,Trichlorobenzene(123)2
78,-7.875378991752314,-1.8982337489138013,0.5442298652832886,-2.080488106123355,Trichlorobenzene(123),3,Trichlorobenzene(123)3
79,0.5281085866610423,-10.298944744346118,-1.109931859999807,5.856632563849936,Trichloroethylene,3,Trichloroethylene0
80,-1.1349337395226673,0.1867704825506278,1.2354386863581357,0.642994473934632,Trichloroethylene,3,Trichloroethylene1
81,-8.53593324313732,-4.722048231551285,-0.19728473414611863,0.3147396002493982,Trichloroethylene,3,Trichloroethylene2
82,-0.28663163212497034,0.5951698776352519,1.9714154816048077,1.5744230960134373,Trifluralin,7,Trifluralin0
83,-3.1458813268160446,0.4443140367428297,-1.493003117259666,2.104833145335923,Trifluralin,7,Trifluralin1
84,-7.887303459590168,-0.7473789369063341,3.2307460866653885,0.32101701280259154,Trifluralin,7,Trifluralin2
85,0.47213986023847626,1.0310809646209336,-2.455278116596064,3.0184748404805073,Trifluralin,7,Trifluralin3
86,2.3322919150644825,0.915648952361857,0.7305717731558828,2.0871420456322283,Verapamil,6,Verapamil0
87,2.9032197117423455,0.8414472345210086,0.711556935266238,2.754025670703583,Verapamil,6,Verapamil1
88,2.79355012953362,1.618433864705885,-0.06018315511066235,3.232128812029565,Verapamil,6,Verapamil2
