"","bspline_1_1","bspline_2_1","bspline_3_1","bspline_4_1","bspline_5_1","bspline_6_1","bspline_7_1","bspline_8_1","bspline_9_1","bspline_1_2","bspline_2_2","bspline_3_2","bspline_4_2","bspline_5_2","bspline_6_2","bspline_7_2","bspline_8_2","bspline_9_2","bspline_1_3","bspline_2_3","bspline_3_3","bspline_4_3","bspline_5_3","bspline_6_3","bspline_7_3","bspline_8_3","bspline_9_3"
"Nitric Acid",0.0250425474589804,0.0243924275688254,0.737599512011863,0.500201254254935,0.771363635372163,0.616640400146252,0.886250819694581,-0.125016250413437,0.77878448265101,0.241780985004421,0.923498195208627,0.872507764551709,1.03812975230582,0.0079019969763299,0.803702356882734,-0.00552316081283589,0.113734396944672,0.0216310901001041,0,0,0,0,0,0,0,0,0
"Pentachlorophenol",0.0368488321832929,-0.0112989078562153,0.0843181914110438,0.0234752383140592,0.141028674560281,0.294295892304539,-0.050737047783252,0.115506864960201,0.0291053024771464,-0.00381420795209744,0.00604045380576008,-0.00063370978868474,-0.00361619809081117,0.0472896997768957,-0.140729131934992,0.0775693769343015,0.00767770155006397,0.0138588617839837,0.000365838536297782,-0.00060436510433993,0.00092324005988986,-0.0012253826469354,0.0051629433605626,-0.0307961657353044,0.203900750412905,-0.0376807856320655,0.00261835974702433
"PiperonylButoxide",-0.13959264915449,0.259553632791978,-0.211023454914924,0.413420357474637,0.37054706578932,-0.057764778225721,0.276950321245065,-0.065719879021134,0.223513526206558,0.334567458286229,0.0437763947200189,0.567925025680486,0.104742267861563,0.216302238466363,0.0671013701923677,0.034557709738482,-0.0184443581688057,0.0174427004961936,0,0,0,0,0,0,0,0,0
"Quinoxyfen",0.104739054590157,0.278421463364852,0.445454569529346,0.28165878609582,0.212628799786008,0.259927924235936,0.08011982864021,0.0229672558604302,0.154861951763595,0.866997222866122,1.51867981891414,0.668963519256586,0.859061510388008,0.5014391799094,0.685319266308754,0.765971851009114,0.420507123848521,0.542427542755197,0.292570262283925,0.059764522262085,0.254461574449841,0.150019729087966,0.368338263913013,0.71902393426999,0.579493541245367,0.383780104189198,0.689080144573729
"Tebufenozide",-0.0005377547679826,0.000917411599462879,-0.00152815304044819,0.00237834813756635,-0.0032287754286756,0.0126559410455629,-0.00241410447175822,0.0251578599031528,0.024030700461413,-0.0246346240971394,0.150025195040608,0.0997802390229151,0.0518440882371415,0.189917593941157,0.24843945708815,0.0797507218491858,-0.00422592800081265,0.0083104032979567,0.0120661603816483,-0.0195213740641195,0.0279663114319827,-0.0313340891332907,0.071419167442239,-0.0450804321055807,0.185719531296601,0.072086931861382,0.0394294474469051
"Tetrachloroethylene",0.0917171313510911,0.149094574229741,0.922395295840942,0.744822644632835,0.367497160131341,1.47984712786384,0.268928599878008,0.879080847079164,0.988977843383741,-0.006423352246049,1.20837622505789,0.143484243257736,0.475674347519224,-0.518035236906333,-0.208768120482472,-0.621785090625039,-0.397585919087746,-0.559495982503276,0.0132065659103671,-0.0212902584554221,0.03015085970198,-0.032625061166586,0.0610019707194075,-0.20282420425855,-0.00068271051807826,-0.0875980055693395,-0.098074366537455
"Trichloroethylene",0.131369611188644,0.787930666181183,0.918473643475511,0.183399153599407,0.00603760448851903,0.0893588038090378,-0.0300083374880379,0.0457692202333873,-0.052264189661893,0.260621587307647,1.0762201537751,0.0646342929280717,-0.273613393769438,0.0185420502244701,-0.344104382782672,0.094297539607439,-0.0509240355345007,-0.112540195957927,0.079395274492498,-0.133725399629199,-0.0648118619201609,-0.582174688776185,-0.351891551207955,-0.54984662724022,-0.428434536217262,-0.196061914263226,-0.215973775377201
"Trifluralin",0.00111270741618335,0,0,0.0463173686896035,0,0,-0.0167478657561606,-0.0321389211631705,-0.189514308454843,0,0,0,0,0,0,0,0,0,0.00272678508105156,0.0454330498332983,-0.0640796027817314,0.0684527126101338,-0.0404078022758686,0.0306433230792895,0.0623234039890436,0.121406565885146,0.0122281260214167
"Verapamil",0.00637203727854123,0.0017047815491958,-0.00379311136292262,0.00480944167613687,0.00227400379130178,0.00462417793889161,0.00159745940105921,0.0018760996958482,0.00379968578352461,-0.0241039586328403,0.0393765154690564,0.188339296256738,0.0700853997061907,0.124290848574602,-0.0626392531779808,0.577273455545369,-0.133315900394993,0.155308105390008,-0.0184030569768199,0.0297059866426071,-0.042246373927194,0.0463066653343948,-0.0042701176066589,0.00955173584011005,-0.0234382178677257,0.0131461921292669,0.00597855472435895
"alphaEndosulfan",0.0214374682926785,0.0572050982538723,0.0088087003326387,0.0158047398327751,0.0642171638453795,0.00522270902901285,-0.029301742404357,-0.0653901465847106,0.0441233594637658,0.0725459215848668,-0.116861246931914,0.165082766011819,-0.177241475513276,0.314345605527475,0.296321196548684,0.127007665877498,0.30254668574978,0.106007583574445,-0.00324595326956408,-0.171263618195904,-0.211030998025562,-0.0449229294991227,-0.149272133455442,0.111005941527232,-0.202764759657698,0.00596191696657461,0.0132082314501823
"betaEndosulfan",0.045943552645152,0.15153859045989,-0.0530825966892267,0.399559877400989,0.516399973930105,-0.021132622395618,0.0851775928071457,0.0611985268608479,0.0380955811448036,0.00900810581464317,-0.0147219607118921,0.0217716391442022,-0.0266578813951844,0.0888649784999444,0.0837171179387846,0.24428171372552,-0.05825407908892,0.0527239712411465,0.00171782396577896,-0.00275353644015325,0.00382676327400802,-0.00389600153659741,0.00413083556700321,0.0170530522528971,-0.223436608292227,-0.117631785327026,-0.152641718219144
